userWallet,total_borrow_usd,total_deposit_usd,total_redeem_usd,total_repay_usd,repay_ratio,deposit,borrow,repay,redeemunderlying,action_types_used,tx_count,repay_delay_days,days_active,unique_assets,asset_mismatch,credit_score,score_class
0x00000000001accfa9cef68cf5371a23025b6d4b6,0.0,1987.6636548592714,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x000000000051d07a4fb3bd10121a343d85818da6,0.0,285.69448036149265,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x000000000096026fb41fc39f9875d164bd82e2dc,0.0,0.005152310624158186,0.0,0.0,0.0,2,0,0,0,1,2,0.0,7,1,0,780,Moderate
0x0000000000e189dd664b9ab08a33c4839953852c,0.0,0.0,1960.7229524339862,0.0,0.0,0,0,0,17,1,17,0.0,129,4,0,810,Strong
0x0000000002032370b971dabd36d72f3e5a7bf1ee,130355.75475607086,925490.6969600009,824037.5778151979,70150.26379074076,0.5381447403070923,250,15,4,130,4,399,0.0,132,6,True,900,Prime (AAA)
0x000000000a38444e0a6e37d3b630d7e855a7cb13,11631.431210321323,18390.665686010514,9355.620851568488,11640.280239622172,1.0007607859377612,7,8,5,5,4,25,2.0,39,5,False,1000,Prime (AAA)
0x000000003853fcedcd0355fec98ca3192833f00b,0.0,0.12006325681531027,0.0,0.0,0.0,8,0,0,0,1,8,0.0,7,7,0,780,Moderate
0x000000003ce0cf2c037493b1dc087204bd7f713e,134838.42403923787,672499.5759299963,507275.63934005384,2758.686260032398,0.020459199814065035,309,30,16,137,4,492,0.0,123,7,True,800,Strong
0x000000007858e6f2668e1e06111cfa24403a5466,0.0,0.14216066648145406,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00000001a0f57e850c9db68b4a9bc34677437c5c,0.0,1.7666525037857388,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,597501.9617796154,799991.6941682948,801072.9370227363,597568.679828446,1.000111661639791,26,24,9,10,4,69,30.0,30,1,False,1000,Prime (AAA)
0x00000029ff545c86524ade7caf132527707948c4,3381166.2600503326,4876314.168706385,4840690.06210632,3351013.6429793746,0.9910821844441009,12,12,12,11,4,47,0.0,2,4,False,1000,Prime (AAA)
0x00000087c4cebffb95746d1935de7fbcab092f40,1265148.9404715851,2131006.5283901496,2083651.8258147335,1236773.7496241017,0.9775716597945325,86,62,45,57,4,250,0.0,100,8,True,1000,Prime (AAA)
0x000000e28faa823d5b53ff6c2922c28335840375,2977862.7996136593,3709065.7996441405,3288489.3186057685,2270684.973261751,0.7625216895675462,107,66,63,61,4,297,5.0,137,7,True,900,Prime (AAA)
0x000006eee6e39015cb523aebdd4d0b1855aba682,24758.96632948498,77871.46331912852,149679.44198953183,23151.274780815504,0.9350662896312069,11,4,1,9,4,25,0.0,41,6,True,870,Strong
0x00000a9c78912badb92d73b6ed26456e11def5eb,0.0,1.6927543127773312,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00001bc47f0973f794f79c16121cee879e272d6a,0.0,0.0,53501.44012314356,0.0,0.0,0,0,0,4,1,4,0.0,47,2,0,780,Moderate
0x00002b503a75998c97508916a74fdb41934fa030,2401891.8174879523,3163241.256154405,2422011.462941479,1924330.2671071426,0.8011727477050681,27,47,45,28,4,147,1.0,125,7,True,900,Prime (AAA)
